abstract,arxiv,authors,citations,citations_primary,citations_source,doi,group,match_score,n_authors,oa,oa_citations,oa_records,oa_records_citation_sum,openalex,pdf,referenced_works,resolved,s2_citations,s2_influential,s2_types,s2_url,s2_venue,s2_year,section,seed_title,short,supervision,task,title,url,venue,venue_type,year,zs_claim
"Trained with an unprecedented scale of data, large language models (LLMs) like ChatGPT and GPT-4 exhibit the emergence of significant reasoning abilities from model scaling. Such a trend underscored the potential of training LLMs with unlimited language data, advancing the development of a universal embodied agent. In this work, we introduce the NavGPT, a purely LLM-based instruction-following navigation agent, to reveal the reasoning capability of GPT models in complex embodied scenes by performing zero-shot sequential action prediction for vision-and-language navigation (VLN). At each step, NavGPT takes the textual descriptions of visual observations, navigation history, and future explora",2305.16986,Gengze Zhou; Yicong Hong; Qi Wu,171,448,Semantic Scholar,10.1609/aaai.v38i7.28597,A,1.0,3,True,171,2,183,https://openalex.org/W4393154152,https://ojs.aaai.org/index.php/AAAI/article/download/28597/29161,89,True,448,35,"JournalArticle,Conference",https://www.semanticscholar.org/paper/8199c9d55dd998f69f703e0ad250ca0697e3ad27,AAAI Conference on Artificial Intelligence,2023,9.2,NavGPT: Explicit Reasoning in Vision-and-Language Navigation with Large Language Models,NavGPT,zero-shot,R2R,NavGPT: Explicit Reasoning in Vision-and-Language Navigation with Large Language Models,https://doi.org/10.1609/aaai.v38i7.28597,Proceedings of the AAAI Conference on Artificial Intelligence,conference-paper,2024,ZS-1
"Capitalizing on the remarkable advancements in Large Language Models (LLMs), there is a burgeoning initiative to harness LLMs for instruction following robotic navigation. Such a trend underscores the potential of LLMs to generalize navigational reasoning and diverse language understanding. However, a significant discrepancy in agent performance is observed when integrating LLMs in the Vision-and-Language navigation (VLN) tasks compared to previous downstream specialist models. Furthermore, the inherent capacity of language to interpret and facilitate communication in agent interactions is often underutilized in these integrations. In this work, we strive to bridge the divide between VLN-spe",2407.12366,Gengze Zhou; Yicong Hong; Zun Wang et al.,47,134,Semantic Scholar,10.1007/978-3-031-72667-5_15,A,1.0,5,False,47,2,47,https://openalex.org/W4402944034,,53,True,134,7,"JournalArticle,Conference",https://www.semanticscholar.org/paper/c2d858527df96e269f072e3dee37ec7bae281c0f,European Conference on Computer Vision,2024,9.2 (contrast),NavGPT-2: Unleashing Navigational Reasoning Capability for Large Vision-Language Models,NavGPT-2,pretrain-finetune,R2R,NavGPT-2: Unleashing Navigational Reasoning Capability for Large Vision-Language Models,https://doi.org/10.1007/978-3-031-72667-5_15,Lecture notes in computer science,conference-paper,2024,-
"Embodied agents equipped with GPT as their brains have exhibited extraordinary decision-making and generalization abilities across various tasks. However, existing zero-shot agents for vision-and-language navigation (VLN) only prompt GPT-4 to select potential locations within localized environments, without constructing an effective""global-view""for the agent to understand the overall environment. In this work, we present a novel map-guided GPT-based agent, dubbed MapGPT, which introduces an online linguistic-formed map to encourage global exploration. Specifically, we build an online map and incorporate it into the prompts that include node information and topological relationships, to help ",2401.07314,Jiaqi Chen; Bingqian Lin; Ran Xu et al.,42,152,Semantic Scholar,10.18653/v1/2024.acl-long.529,A,1.0,6,True,42,2,48,https://openalex.org/W4402684154,https://aclanthology.org/2024.acl-long.529.pdf,0,True,152,14,"JournalArticle,Conference",https://www.semanticscholar.org/paper/281f345ac786b79623e0c0ad81043a419463d971,Annual Meeting of the Association for Computational Linguistics,2024,9.2,MapGPT: Map-Guided Prompting with Adaptive Path Planning for Vision-and-Language Navigation,MapGPT,zero-shot,R2R,MapGPT: Map-Guided Prompting with Adaptive Path Planning for Vision-and-Language Navigation,https://doi.org/10.18653/v1/2024.acl-long.529,Annual Meeting of the Association for Computational Linguistics,conference-paper,2024,ZS-1
"Visual language navigation (VLN) is an embodied task demanding a wide range of skills encompassing understanding, perception, and planning. For such a multifaceted challenge, previous VLN methods totally rely on one model’s own thinking to make predictions within one round. However, existing models, even the most advanced large language model GPT4, still struggle with dealing with multiple tasks by single-round self-thinking. In this work, drawing inspiration from the expert consultation meeting, we introduce a novel zero-shot VLN framework. Within this framework, large models possessing distinct abilities are served as domain experts. Our proposed navigation agent, namely DiscussNav, can ac",2309.11382,Yuxing Long; Xiaoqi Li; Wenzhe Cai et al.,57,159,Semantic Scholar,10.1109/icra57147.2024.10611565,A,1.0,4,False,57,2,58,https://openalex.org/W4401417232,,53,True,159,9,"JournalArticle,Conference",https://www.semanticscholar.org/paper/0455999a91507f77781b3a5a125aec0cf31398a5,IEEE International Conference on Robotics and Automation,2023,9.5,Discuss Before Moving: Visual Language Navigation via Multi-expert Discussions,DiscussNav,zero-shot,R2R,Discuss Before Moving: Visual Language Navigation via Multi-expert Discussions,https://doi.org/10.1109/icra57147.2024.10611565,IEEE International Conference on Robotics and Automation,conference-paper,2024,ZS-1
"Enabling robots to navigate following diverse language instructions in unexplored environments is an attractive goal for human-robot interaction. However, this goal is challenging because different navigation tasks require different strategies. The scarcity of instruction navigation data hinders training an instruction navigation model with varied strategies. Therefore, previous methods are all constrained to one specific type of navigation instruction. In this work, we propose InstructNav, a generic instruction navigation system. InstructNav makes the first endeavor to handle various instruction navigation tasks without any navigation training or pre-built maps. To reach this goal, we intro",2406.04882,Yuxing Long; Wenzhe Cai; Hongcheng Wang et al.,,216,Semantic Scholar,,A,1.0,5,False,,0,0,,,0,True,216,17,,https://www.semanticscholar.org/paper/f6d8eb53fa8ccdfa963afa600cd67ae23bcbfcb8,Conference on Robot Learning,2024,9.2,InstructNav: Zero-shot Generalist Instruction Navigation,InstructNav,zero-shot,multi,InstructNav: Zero-shot System for Generic Instruction Navigation in Unexplored Environment,,Conference on Robot Learning,,2024,"ZS-1,ZS-3"
"Vision-and-Language Navigation (VLN) tasks require an agent to follow textual instructions to navigate through 3D environments. Traditional approaches use supervised learning methods, relying heavily on domain-specific datasets to train VLN models. Recent methods try to utilize closedsource large language models (LLMs) like GPT-4 to solve VLN tasks in zero-shot manners, but face challenges related to expensive token costs and potential data breaches in realworld applications. In this work, we introduce Open-Nav, a novel study that explores open-source LLMs for zero-shot VLN in the continuous environment. Open-Nav employs a spatial-temporal chain-of-thought (CoT) reasoning approach to break d",2409.18794,Yanyuan Qiao; Wenqi Lyu; Hui Wang et al.,11,77,Semantic Scholar,10.1109/icra55743.2025.11127584,A,1.0,8,False,11,2,11,https://openalex.org/W4413925269,,29,True,77,10,"JournalArticle,Conference",https://www.semanticscholar.org/paper/6080c15c7d7c8ddcd652012cff7fa2c4e26bd12f,IEEE International Conference on Robotics and Automation,2024,9.8,Open-Nav: Exploring Zero-Shot Vision-and-Language Navigation in Continuous Environment with Open-Source LLMs,Open-Nav,zero-shot,VLN-CE,Open-Nav: Exploring Zero-Shot Vision-and-Language Navigation in Continuous Environment with Open-Source LLMs,https://doi.org/10.1109/icra55743.2025.11127584,IEEE International Conference on Robotics and Automation,conference-paper,2025,ZS-1
"Many Vision-and-Language Navigation (VLN) tasks have been proposed in recent years, from room-based to object-based and indoor to outdoor. The REVERIE (Remote Embodied Referring Expression) is interesting since it only provides high-level instructions to the agent, which are closer to human commands in practice. Nevertheless, this poses more challenges than other VLN tasks since it requires agents to infer a navigation plan only based on a short instruction. Large Language Models (LLMs) show great potential in robot action planning by providing proper prompts. Still, this strategy has not been explored under the REVERIE settings. There are several new challenges. For example, the LLM should ",2308.10141,Yanyuan Qiao; Yuankai Qi; Yu Zheng et al.,30,59,Semantic Scholar,10.1109/iccv51070.2023.01444,A,1.0,5,False,30,2,33,https://openalex.org/W4390872429,,40,True,59,2,"JournalArticle,Conference",https://www.semanticscholar.org/paper/c3925ef53f864e5c30189272f63801248ff1406f,IEEE International Conference on Computer Vision,2023,9.5,March in Chat: Interactive Prompting for Remote Embodied Referring Expression,March-in-Chat,zero-shot,REVERIE,March in Chat: Interactive Prompting for Remote Embodied Referring Expression,https://doi.org/10.1109/iccv51070.2023.01444,IEEE International Conference on Computer Vision,conference-paper,2023,ZS-1
"Household environments are visually diverse. Embodied agents performing Vision-and-Language Navigation (VLN) in the wild must be able to handle this diversity, while also following arbitrary language instructions. Recently, Vision-Language models like CLIP have shown great performance on the task of zero-shot object recognition. In this work, we ask if these models are also capable of zero-shot language grounding. In particular, we utilize CLIP to tackle the novel problem of zero-shot VLN using natural language referring expressions that describe target objects, in contrast to past work that used simple language templates describing object classes. We examine CLIP's capability in making sequ",2211.16649,Vishnu Sashank Dorbala; Gunnar Sigurðsson; Robinson Piramuthu et al.,8,99,Semantic Scholar,10.48550/arxiv.2211.16649,A,1.0,5,True,8,1,8,https://openalex.org/W4310557634,https://arxiv.org/pdf/2211.16649,0,True,99,3,JournalArticle,https://www.semanticscholar.org/paper/a2746d9c3445885b18e8204c96199e98a3e0232a,arXiv.org,2022,9.2,CLIP-Nav: Using CLIP for Zero-Shot Vision-and-Language Navigation,CLIP-Nav,zero-shot,R2R,CLIP-Nav: Using CLIP for Zero-Shot Vision-and-Language Navigation,http://arxiv.org/abs/2211.16649,arXiv (Cornell University),preprint,2022,ZS-1
"We explore the use of language as a perceptual representation for vision-and-language navigation (VLN), with a focus on low-data settings. Our approach uses off-the-shelf vision systems for image captioning and object detection to convert an agent's egocentric panoramic view at each time step into natural language descriptions. We then finetune a pretrained language model to select an action, based on the current view and the trajectory history, that would best fulfill the navigation instructions. In contrast to the standard setup which adapts a pretrained language model to work directly with continuous visual features from pretrained vision models, our approach instead uses (discrete) langu",2310.07889,Bowen Pan; Rameswar Panda; SouYoung Jin et al.,23,64,Semantic Scholar,10.18653/v1/2024.findings-naacl.60,A,1.0,7,True,23,2,23,https://openalex.org/W4401042755,https://aclanthology.org/2024.findings-naacl.60.pdf,0,True,64,3,JournalArticle,https://www.semanticscholar.org/paper/60b9ffd8935d46e0d43e143186124cecfa6e5118,NAACL-HLT,2023,9.2,LangNav: Language as a Perceptual Representation for Navigation,LangNav,few-shot,R2R,LangNav: Language as a Perceptual Representation for Navigation,https://doi.org/10.18653/v1/2024.findings-naacl.60,NAACL-HLT,conference-paper,2024,ZS-3
"For robots to be generally useful, they must be able to find arbitrary objects described by people (i.e., be language-driven) even without expensive navigation training on in-domain data (i.e., perform zero-shot inference). We explore these capabilities in a unified setting: language- driven zero-shot object navigation (L-ZSON). Inspired by the recent success of open-vocabulary models for image classification, we investigate a straightforward framework, CLIP on Wheels (CoW), to adapt open-vocabulary models to this task without fine-tuning. To better evaluate L-ZSON, we introduce the Pasturebenchmark, which considers finding uncommon objects, objects described by spatial and appearance attrib",2203.10421,Samir Yitzhak Gadre; Mitchell Wortsman; Gabriel Ilharco et al.,159,339,Semantic Scholar,10.1109/cvpr52729.2023.02219,B,1.0,5,False,159,2,169,https://openalex.org/W4386083015,,112,True,339,38,"JournalArticle,Conference",https://www.semanticscholar.org/paper/742b195fb4c2868a4e60012c8e0bf7db43bb5650,Computer Vision and Pattern Recognition,2022,9.3,CoWs on Pasture: Baselines and Benchmarks for Language-Driven Zero-Shot Object Navigation,CoW,zero-shot,ObjectNav,CoWs on Pasture: Baselines and Benchmarks for Language-Driven Zero-Shot Object Navigation,https://doi.org/10.1109/cvpr52729.2023.02219,Computer Vision and Pattern Recognition,conference-paper,2023,"ZS-1,ZS-2"
