rank,tier,is_seed,title,year,venue,citations,cites_per_year,task,zs_claim,doi,arxiv,url,query_sets,sources,abstract
1,T1 zero-shot / training-free,True,VLFM: Vision-Language Frontier Maps for Zero-Shot Semantic Navigation,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),393,131.0,ObjectNav,candidate,10.1109/icra57147.2024.10610712,2312.03275,https://doi.org/10.1109/icra57147.2024.10610712,recall|zeroshot,arxiv|crossref|openalex|openreview|s2,"Understanding how humans leverage semantic knowledge to navigate unfamiliar environments and decide where to explore next is pivotal for developing robots capable of human-like search behaviors. We introduce a zero-shot navigation approach, Vision-Language Frontier Maps (VLFM), which is inspired by human reasoning and designed to navigate towards unseen semantic objects in novel environments. VLFM builds occupancy maps from depth observations to identify frontiers, and leverages RGB observations and a pre-trained vision-language model to generate a language-grounded value map. VLFM then uses this map to identify the most promising frontier to explore for finding an instance of a given target object category. We evaluate VLFM in photo-realistic environments from the Gibson, Habitat-Matterport 3D (HM3D), and Matterport 3D (MP3D) datasets within the Habitat simulator. Remarkably, VLFM achieves state-of-the-art results on all three datasets as measured by success weighted by path length (SPL) for the Object Goal Navigation task. Furthermore, we show that VLFM’s zero-shot nature enables it to be readily deployed on real-world robots such as the Boston Dynamics Spot mobile manipulation platform. We deploy VLFM on Spot and demonstrate its capability to efficiently navigate to target objects within an office building in the real world, without any prior knowledge of the environment. The accomplishments of VLFM underscore the promising potential of vision-language models in advancing "
2,T1 zero-shot / training-free,True,Hierarchical Open-Vocabulary 3D Scene Graphs for Language-Grounded Robot Navigation,2024,VLMNM 2024,309,103.0,,candidate,10.15607/rss.2024.xx.077,2403.17846,https://openreview.net/forum?id=TL0Hb9OwfR,enabler|zeroshot,arxiv|crossref|dblp|openalex|openreview|s2,"Typically, robotic mapping relies on highly accurate dense representations obtained via approaches to simultaneous localization and mapping. While these maps allow for point/voxel-level features, they do not provide language grounding within large-scale environments due to the sheer number of points. In this work, we present HOV-SG, a hierarchical open-vocabulary 3D scene graph mapping approach for robot navigation. Using open-vocabulary vision foundation models, we first obtain state-of-the-art open-vocabulary maps in 3D. We then perform floor as well as room segmentation and identify room names. Finally, we construct a 3D scene graph hierarchy. Our approach is able to represent multi-story buildings and allows robots to traverse them by providing feasible links among floors. We demonstrate long-horizon robotic navigation in large-scale indoor environments from long queries using large language models based on the obtained scene graph tokens and outperform previous baselines."
3,T1 zero-shot / training-free,True,InstructNav: Zero-shot System for Generic Instruction Navigation in Unexplored Environment,2024,Conference on Robot Learning,216,72.0,R2R,candidate,10.48550/arXiv.2406.04882,2406.04882,https://www.semanticscholar.org/paper/f6d8eb53fa8ccdfa963afa600cd67ae23bcbfcb8,recall,arxiv|dblp|openalex|openreview|s2,"Enabling robots to navigate following diverse language instructions in unexplored environments is an attractive goal for human-robot interaction. However, this goal is challenging because different navigation tasks require different strategies. The scarcity of instruction navigation data hinders training an instruction navigation model with varied strategies. Therefore, previous methods are all constrained to one specific type of navigation instruction. In this work, we propose InstructNav, a generic instruction navigation system. InstructNav makes the first endeavor to handle various instruction navigation tasks without any navigation training or pre-built maps. To reach this goal, we introduce Dynamic Chain-of-Navigation (DCoN) to unify the planning process for different types of navigation instructions. Furthermore, we propose Multi-sourced Value Maps to model key elements in instruction navigation so that linguistic DCoN planning can be converted into robot actionable trajectories. With InstructNav, we complete the R2R-CE task in a zero-shot way for the first time and outperform many task-training methods. Besides, InstructNav also surpasses the previous SOTA method by 10.48% on the zero-shot Habitat ObjNav and by 86.34% on demand-driven navigation DDN. Real robot experiments on diverse indoor scenes further demonstrate our method's robustness in coping with the environment and instruction variations."
4,T1 zero-shot / training-free,True,SG-Nav: Online 3D Scene Graph Prompting for LLM-based Zero-shot Object Navigation,2024,Neural Information Processing Systems,196,65.3,,candidate,10.48550/arXiv.2410.08189,2410.08189,https://www.semanticscholar.org/paper/a497b668dce81d6850af1371fdaf6a4a03eafb06,recall|zeroshot,arxiv|crossref|dblp|openalex|openreview|s2,"In this paper, we propose a new framework for zero-shot object navigation. Existing zero-shot object navigation methods prompt LLM with the text of spatially closed objects, which lacks enough scene context for in-depth reasoning. To better preserve the information of environment and fully exploit the reasoning ability of LLM, we propose to represent the observed scene with 3D scene graph. The scene graph encodes the relationships between objects, groups and rooms with a LLM-friendly structure, for which we design a hierarchical chain-of-thought prompt to help LLM reason the goal location according to scene context by traversing the nodes and edges. Moreover, benefit from the scene graph representation, we further design a re-perception mechanism to empower the object navigation framework with the ability to correct perception error. We conduct extensive experiments on MP3D, HM3D and RoboTHOR environments, where SG-Nav surpasses previous state-of-the-art zero-shot methods by more than 10% SR on all benchmarks, while the decision process is explainable. To the best of our knowledge, SG-Nav is the first zero-shot method that achieves even higher performance than supervised object navigation methods on the challenging MP3D benchmark."
5,T1 zero-shot / training-free,True,Discuss Before Moving: Visual Language Navigation via Multi-expert Discussions,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),159,53.0,R2R,candidate,10.1109/icra57147.2024.10611565,2309.11382,https://doi.org/10.1109/icra57147.2024.10611565,recall,arxiv|crossref|dblp|openalex|openreview|s2,"Visual language navigation (VLN) is an embodied task demanding a wide range of skills encompassing understanding, perception, and planning. For such a multifaceted challenge, previous VLN methods totally rely on one model’s own thinking to make predictions within one round. However, existing models, even the most advanced large language model GPT4, still struggle with dealing with multiple tasks by single-round self-thinking. In this work, drawing inspiration from the expert consultation meeting, we introduce a novel zero-shot VLN framework. Within this framework, large models possessing distinct abilities are served as domain experts. Our proposed navigation agent, namely DiscussNav, can actively discuss with these experts to collect essential information before moving at every step. These discussions cover critical navigation subtasks like instruction understanding, environment perception, and completion estimation. Through comprehensive experiments, we demonstrate that discussions with domain experts can effectively facilitate navigation by perceiving instruction-relevant information, correcting inadvertent errors, and sifting through in-consistent movement decisions. The performances on the representative VLN task R2R show that our method surpasses the leading zero-shot VLN model by a large margin on all metrics. Additionally, real-robot experiments display the obvious advantages of our method over single-round self-thinking. Our project web can be seen at the https://sit"
6,T1 zero-shot / training-free,True,MapGPT: Map-Guided Prompting with Adaptive Path Planning for Vision-and-Language Navigation,2024,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),152,50.7,R2R,candidate,10.18653/v1/2024.acl-long.529,2401.07314,https://doi.org/10.18653/v1/2024.acl-long.529,core,arxiv|crossref|openalex|openreview|s2,"Embodied agents equipped with GPT as their brains have exhibited extraordinary decision-making and generalization abilities across various tasks. However, existing zero-shot agents for vision-and-language navigation (VLN) only prompt GPT-4 to select potential locations within localized environments, without constructing an effective""global-view""for the agent to understand the overall environment. In this work, we present a novel map-guided GPT-based agent, dubbed MapGPT, which introduces an online linguistic-formed map to encourage global exploration. Specifically, we build an online map and incorporate it into the prompts that include node information and topological relationships, to help GPT understand the spatial environment. Benefiting from this design, we further propose an adaptive planning mechanism to assist the agent in performing multi-step path planning based on a map, systematically exploring multiple candidate nodes or sub-goals step by step. Extensive experiments demonstrate that our MapGPT is applicable to both GPT-4 and GPT-4V, achieving state-of-the-art zero-shot performance on R2R and REVERIE simultaneously (~10% and ~12% improvements in SR), and showcasing the newly emergent global thinking and path planning abilities of the GPT."
7,T1 zero-shot / training-free,True,GOAT-Bench: A Benchmark for Multi-Modal Lifelong Navigation,2024,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),130,43.3,GOAT,candidate,10.1109/cvpr52733.2024.01549,2404.06609,https://doi.org/10.1109/cvpr52733.2024.01549,recall,arxiv|crossref|dblp|openalex|openreview|s2,"The Embodied AI community has made significant strides in visual navigation tasks, exploring targets from 3D coordinates, objects, language descriptions, and images. However, these navigation models often handle only a single input modality as the target. With the progress achieved so for, it is time to move towards universal navigation models capable of handling various goal types, enabling more effective user interaction with robots. To facilitate this goal, we propose GOAT-Bench, a benchmark for the universal navigation task referred to as GO to AnyThing (GOAT). In this task, the agent is directed to navigate to a sequence of targets specified by the category name, language description, or image in an open-vocabulary fashion. We benchmark monolithic RL and modular methods on the GOAT task, analyzing their performance across modalities, the role of explicit and implicit scene memories, their robustness to noise in goal specifications, and the impact of memory in lifelong scenarios."
8,T1 zero-shot / training-free,True,OpenFMNav: Towards Open-Set Zero-Shot Object Navigation via Vision-Language Foundation Models,2024,NAACL-HLT,122,40.7,ObjectNav,candidate,10.48550/arXiv.2402.10670,2402.10670,https://www.semanticscholar.org/paper/e3ca1f399ed5ee21d0b73422f8837fba0985665f,recall|zeroshot,arxiv|crossref|dblp|openalex|openreview|s2,"Object navigation (ObjectNav) requires an agent to navigate through unseen environments to find queried objects. Many previous methods attempted to solve this task by relying on supervised or reinforcement learning, where they are trained on limited household datasets with close-set objects. However, two key challenges are unsolved: understanding free-form natural language instructions that demand open-set objects, and generalizing to new environments in a zero-shot manner. Aiming to solve the two challenges, in this paper, we propose OpenFMNav, an Open-set Foundation Model based framework for zero-shot object Navigation. We first unleash the reasoning abilities of large language models (LLMs) to extract proposed objects from natural language instructions that meet the user's demand. We then leverage the generalizability of large vision language models (VLMs) to actively discover and detect candidate objects from the scene, building a Versatile Semantic Score Map (VSSM). Then, by conducting common sense reasoning on VSSM, our method can perform effective language-guided exploration and exploitation of the scene and finally reach the goal. By leveraging the reasoning and generalizing abilities of foundation models, our method can understand free-form human instructions and perform effective open-set zero-shot navigation in diverse environments. Extensive experiments on the HM3D ObjectNav benchmark show that our method surpasses all the strong baselines on all metrics, proving "
9,T1 zero-shot / training-free,True,Open-Nav: Exploring Zero-Shot Vision-and-Language Navigation in Continuous Environment with Open-Source LLMs,2025,2025 IEEE International Conference on Robotics and Automation (ICRA),77,38.5,VLN-CE,candidate,10.1109/icra55743.2025.11127584,2409.18794,https://doi.org/10.1109/icra55743.2025.11127584,core,arxiv|crossref|openalex|openreview|s2,"Vision-and-Language Navigation (VLN) tasks require an agent to follow textual instructions to navigate through 3D environments. Traditional approaches use supervised learning methods, relying heavily on domain-specific datasets to train VLN models. Recent methods try to utilize closedsource large language models (LLMs) like GPT-4 to solve VLN tasks in zero-shot manners, but face challenges related to expensive token costs and potential data breaches in realworld applications. In this work, we introduce Open-Nav, a novel study that explores open-source LLMs for zero-shot VLN in the continuous environment. Open-Nav employs a spatial-temporal chain-of-thought (CoT) reasoning approach to break down tasks into instruction comprehension, progress estimation, and decision-making. It enhances scene perceptions with fine-grained object and spatial knowledge to improve LLM's reasoning in navigation. Our extensive experiments in both simulated and real-world environments demonstrate that Open-Nav achieves competitive performance compared to using closed-source LLMs."
10,T1 zero-shot / training-free,True,VoroNav: Voronoi-based Zero-shot Object Navigation with Large Language Model,2024,International Conference on Machine Learning,106,35.3,,candidate,10.48550/arXiv.2401.02695,2401.02695,https://www.semanticscholar.org/paper/2653cf21108048bdc9300e7c8daf27461b91f98c,recall|zeroshot,arxiv|dblp|openalex|openreview|s2,"In the realm of household robotics, the Zero-Shot Object Navigation (ZSON) task empowers agents to adeptly traverse unfamiliar environments and locate objects from novel categories without prior explicit training. This paper introduces VoroNav, a novel semantic exploration framework that proposes the Reduced Voronoi Graph to extract exploratory paths and planning nodes from a semantic map constructed in real time. By harnessing topological and semantic information, VoroNav designs text-based descriptions of paths and images that are readily interpretable by a large language model (LLM). In particular, our approach presents a synergy of path and farsight descriptions to represent the environmental context, enabling LLM to apply commonsense reasoning to ascertain waypoints for navigation. Extensive evaluation on HM3D and HSSD validates VoroNav surpasses existing benchmarks in both success rate and exploration efficiency (absolute improvement: +2.8% Success and +3.7% SPL on HM3D, +2.6% Success and +3.8% SPL on HSSD). Additionally introduced metrics that evaluate obstacle avoidance proficiency and perceptual efficiency further corroborate the enhancements achieved by our method in ZSON planning. Project page: https://voro-nav.github.io"
